reviewId,content,score
d3a5315f-f34a-41bf-839a-ec83851c9957,Bad app,1
4b8d607c-dc37-4cd3-9579-a3cbca248f00,Prashant,2
f88d42bb-0347-4f0a-91a9-0a6fa4193928,Very good app i like it😊😘,5
aa4abee3-5b60-4677-8835-7d7a4cec8673,My inta I'd lnd,5
76ae5916-c4ef-4114-8380-227d64b0ec3b,Nice to see you too,5
b3d33ff6-9ea6-4456-bc46-df5d34f9ac77,This is amazing aap and easy talk other person and girl😊,5
4c5a7636-35a4-43a9-8950-6b4cc8d2f28f,Good,3
536ea36c-981d-4690-b885-3b461aa8c7be,Is very good but I need to be verified,5
54a06c78-6d61-4a01-8559-b9979e9cd2de,Nice,5
24ae9de8-1d26-4324-87f9-83838e51a648,KalshingBarela,4
1b0dd8c7-34e4-44b1-b32f-1114f1428691,Mast,5
339786aa-7958-4380-a02e-11f5a2a55868,Very good marketing,5
4b968113-8828-4063-bcf9-c8ce9128785b,Good👍,3
e9e0788e-6ae6-462d-908f-ba6954248057,nice installgrame,5
f69f467f-49f0-4314-b156-eb7c2ae11f7f,Hide chats,4
a90e3be5-76c7-477a-869d-a24a93a8d239,My friends screen when I FaceTime them is blurry,1
6c8e3827-fd2b-43e4-a817-cfd5a8190176,I like Instagram,4
16b7f754-8a43-4888-bdf7-8cc52eff0853,Instagram so much good 😊hdhdndhksvshshswhgd ig ehsldivfhfkfjvrlcjbd jdkldjhdjdhd hdld hi ekwsubd. Sisb hi ok rvdhy ee hi d ji ieg hi jdgxne oppo be d zisg hi hi a usbhwkwb UB zuve on gd hdhkw ig ev gdhoeg se bhdb bisow hi sj iekduejuszo naishskd. Baywn tu b xydbUskge dje ji vdhgedvc ch sbdjeeujdodbe zhsjje ch sjsyenfir ghdnekscsgdvd hi djsy se bath. Xindbdhsivd izjsbnsjd hsjvnskwh se hdjjdywkbd hej er uodnags bh sis nhi kd hdn ddu km sn d h se hsisjd bh ji kstydjfsv heofutwpabevskla ok gdldpgem,5
4e096d06-ddd3-4b92-898d-815f704bf12c,👌🏾,5
32f5dd1a-7390-4519-b423-a5bbb6650126,👍👍👍🫶,5
36351728-e3fb-49cc-bc10-27b7c5121634,Nice app to use 💯,5
33e35dc3-732b-4285-9b7d-f16cabda31b8,Nice aap,5
114a1ac5-e52b-4ce1-a19e-fc6d7ea646f1,Ye app. Bar bar update karna padta h,3
6fe72f31-e76a-43c5-a889-d5a59431d5f0,Delete from my device,5
9b8e50b5-9144-4875-9b4b-1e0ee2ba6a10,Super,5
825d6a4b-387c-4bdd-96b4-0a2fcf19d8e7,My time pass app,1
9cd12881-3df9-4b96-98f9-6b69fe7c4634,Absolutely Love this App ❤️❤️❤️❤️❤️,5
131fa2f4-06c4-487d-b1ea-2e33bc4d242d,Good,1
d0287c27-9b68-4360-886c-36abab00ac42,Downloading app,1
d63463b5-83d3-4a01-974d-6270a7fb05c6,This app harmful for the generation,1
b81406e7-7774-45f6-9c41-8deeb7264f75,Super,4
6caf7934-da08-40ef-a9f8-a0ddd35540e1,Ubu,3
1737bcae-de53-4751-a424-893dc43cedb6,Super...,5
9e2b8bcb-45ed-4347-a1e6-983c0a087b56,Subha,2
6a6b1a43-b45a-4cfa-9288-2214ea725d0a,SUPER BUT MY FOLLOWERS 10000 HIA,5
6c268ee6-ca36-4924-b8a0-e0ef4ccad96d,Nice,5
320bf717-2942-42f2-8bb1-d75d6c52005a,This is a good app😁😍,5
75fe072f-3e0a-48cf-963c-d071e3801c84,Good,5
47466099-ee21-4eef-83b5-6269825c97bd,🥰🥰🥰🥰😘😘,5
c63730d2-c501-4fe2-9bfb-a684e960b423,"Hi Opvmpg ,G[,;",5
ea186ec1-25bf-4993-bc45-eacb8d7d0eb6,very nice aap ☺️,5
4ceb94ca-aa80-4523-a4a0-8bee4002b07f,Nice,5
9d20e4f6-bd8e-47dd-9b40-fe2bbb4a12c7,z gCV ❤ddß,4
ae7f9df8-26cc-463d-bd2f-d41e52736b09,😁😁😁,5
0f0949c5-902a-430d-ac52-52f5f5401b75,❤,5
7cab129e-aeeb-486b-a09a-353d658a1820,Nice 👍,3
fb5a536f-f9a2-43ee-90f2-5485ad1d72a7,Aazad,5
43e085b4-6c83-4f89-bcc0-2ca35f46a3dd,awesome,5
dd5ef2f1-17bf-436b-99ff-83c5284da9e5,Very nice for Instagram,5
70cc9b36-1d71-4170-9c9f-5b9f5a1eb063,stop using ai. otherwise good app,3
1eae61fd-da60-4635-b074-8a3e272dfae2,It's peaceful and can costumize privacy,5
d319c67e-96ce-4c4d-8e49-a402a6fcefb5,Instagram is my friends,5
c1ea2ff3-ab58-4d1c-9313-69bd511bae35,Descentbappp no one has heard of .dies good incall areas,3
1b5333f3-9493-4fa2-a7d2-6e673b6e2541,THOSE WHO MADE THIS APP SALUTE THEM.,5
c1e19979-42c1-4b41-8284-b329322206fc,Live videos,5
db69f0f5-56fc-4dc4-a62e-b24f42338e19,Beautiful App full with region beautiful stuff and adds ..,5
1eecff21-933a-419f-9c27-90d1813b4a82,"Whenever I click on any shared video in chat, it opens the old shared video. It does not open the latest clicked/shared video.",4
d20ee7cf-7c23-4411-86b5-12d4dd158553,Mera Instagram sahi se work nahin kar raha hai usko kaise theek Karen,5
