reviewId,content,score
dca8ad06-2a4a-424a-b727-49cb35e97f2b,R.M. rathod,5
9aacb9ec-2ff3-4566-a275-a4d98fed6266,Very soulfull,5
754d0895-dadc-4a7a-9105-aef937d77567,Sse,5
5eabd921-3dab-4bed-affb-5ffeae03fb86,Gajendra,3
24db273d-62ea-4ede-a42e-384083375a3f,Ak,5
e346f5a8-021e-4b70-8e0c-f75265a7a7f5,Itz a very inportent file but not reel 😔,1
45f9849b-d40e-4303-9908-4a86788b2b9f,I like whatsapp,1
217d7e17-a6c5-4105-8056-b47b27cfed89,gj FF do go do hi no JJ JJ JJ JJ JJ,5
9b18add8-4e3e-499f-a061-9e4fadb7d5cb,Can't get a code,1
bee839f5-357f-4abb-a266-2eaabf62ebf3,"I'll give this app a miss. I've got my pre-installed calling & message apps, I've got the Facebook, messenger, Instagram apps, I don't see any sense in installing this app, I rather save the space on my phone for an app I'm interested in.",1
4c3487d3-829c-4c81-b045-7409ae7bbb09,Mukesh Kumar Daspan,5
ab1d5d78-ed38-41e9-8a2c-3f737d35947c,Niamt,5
c9fe094d-6351-473c-9a68-987f78e0712c,Very good app ❤️,4
a661d77f-abfe-47ad-a5e9-302b2fc95b37,নাইছ,5
c865dba2-b433-4f6e-b812-24f58039a1b8,Good,5
60452f21-d0cf-4bc3-b3cc-9aac60b035fa,Very nice,5
3e91ef2f-33a0-4381-b188-d415257cb493,Excellent,5
c78e9daa-6443-4e51-a17c-4e6d7b6801c2,Any time my whatsapp aplication not open he told me your account review bad services,1
054caa54-3710-4775-a4ca-33e1fc0aaa38,This app is good 👍🏻,5
e7bf3d07-e646-4067-ac15-73f5559cdcda,Unable to backup&updated .kindly FIX the issue .Thank You,1
d915025b-70da-4fb3-89c4-f15ff59407b8,This app is very useful,4
0e25eade-9007-4f00-bb7f-f4872de72426,Good,5
76ac51be-66b5-4890-94d3-40498151da8d,"you are useless, you are not a donlord",1
1ef25bec-f582-4888-81fe-1775a6768a23,I got disconnected. Why? Isn't it free?,5
70d12d6e-fffb-4f3a-95de-ec4046b43d9c,Wattsapp must have features to see chat in inbox after the chat is exported once download from the inbox. In other words to get the deleted chat back once backup won't work..,3
1d84530a-b5c3-4721-a8b2-bcc9820f3156,Ok results,5
82eb41fc-5150-44e3-855d-9f2187bd1759,Make use very easy to information and communication this app is so important for social information,5
a00d2b0c-0b92-4b28-b60f-be9819b6299d,Kaviya Kaviya,5
a8bd1857-a6d1-43bd-bec7-cfe1a8d9c6e4,u are the best,5
67aa8a2f-9dce-4ef3-b0bc-8092edd77784,"*Dear God, Thank you for your amazing power and work in our lives, thank you for your goodness and for your blessings over us. Thank you for your great love and care. Thank you for your sacrifice so that we might have freedom and life. Forgive us for when we don't thank you enough, for who you are, for all that you do, for all that you've given. Help us to set our eyes and our hearts on you afresh. Renew our spirits, fill us with your peace and joy. We love you and we need you, this day and ever",5
273ce6ec-30e3-4719-8f01-ba9cf224df48,Good,5
a4880e42-abf4-40dc-83a9-b0cdd2c7997e,Guddu Sharma,5
b2e8c43f-1317-4f9e-86e7-bfb0e665485d,My whatsapp is banned unband my whatsapp,5
76e46943-7ed2-4813-9247-bf0c7349b8c8,I requested to whatsapp team kindly add one more feature add songs on status.....,1
dcba4639-0f7f-415d-a660-73ff8fd78b89,Solki. Priyansi,5
c0572141-affa-418b-b18d-0ff93078d371,"The new version of WhatsApp is very good and is more secure than before. This is such a platform where there is no issue or fear regarding privacy And the best feature that has been added is the one that I really liked, Meta Ai Ever since the Meta AI update came out, I have become its fan I request the WhatsApp team to please give me more future in meta because there are many images in image creation which it is not able to create and it is not able to generate high quality Please improve this.",4
a4cfc2a9-96e3-4b9f-8690-b61552083b50,Very good,5
40758ade-810b-4a99-9783-3a9e535a48fd,All vedio nat to be deleted by your Own Rule,3
52be5bca-5a6c-4e37-8130-b4be4fefedfd,Good,5
8d6c3570-4b53-4948-8b0a-1b8f566d2d53,Osm,5
87541f0e-044c-45df-b6ba-80c5a0f793a6,Ok,5
c85f245f-2e35-46f5-8e33-3e53e06acc0f,Best,5
03d55b00-cb4c-4651-855a-1c9acffff70e,Super,5
1b1cf7a9-e3ee-4f43-b748-c2ad69bbd8fd,😂😂😂😂😂😂😂😂😂,1
1b772f8f-7b72-457d-8d19-c59fc4ab28b9,Awesome,5
5bdcc52b-a861-4df7-a548-a658acc3a0c6,Excellent,5
0f661c92-95bb-4a6b-b46f-5873d75b0316,Nice,5
b8ed4f1d-6cd0-4aa8-8d3b-a3432b73521f,Nice,3
a284160a-9641-4286-ae88-17842bcce634,Satish,1
206551e8-04d2-45a7-b0da-9d43cf756d32,Nice 👍,5
d85ec03a-5d45-49ce-89e6-c3fe05fa4ffd,Nice the app,5
b6f3ea03-61ca-4d03-9edf-bde6221f704d,Summa தன்,1
9e694963-5fe4-4fbc-a546-80856badc3c5,Good aap,5
af57718a-07c0-471e-be77-c8221b85ae94,Voekrprl Borm,1
f06465ed-c18b-4e43-abab-fea55df4d34a,Superb,5
82abc530-d34a-4174-8260-ff78392aff43,Nice 👍,5
08929df4-8c42-4781-8702-fb715f928051,Update on whatsaap,5
b5776a6f-4166-45ed-af1b-351769604dbd,Good,5
8ed4f61e-0b2c-4005-ae9f-e83f9c242a80,Very bad very bad,1
cc9df25e-bd30-4556-9fca-75d3ffa1161a,Good,5
3a37bbdf-be0c-45fc-88a8-9246d61aaf8e,Good,5
7d2e98ac-2433-4be6-835f-73c4db57f80c,😍😘,5
79df299e-c2bb-41e6-bb5f-d562b0868fc3,I didn't got the ai feature of this app yet.,4
347a0611-155b-4b7a-b62e-088587fc4eb3,Maladiev,1
419adddc-4c21-4710-a95e-150eb3755277,Best all time all activities in this app,5
adfea780-a72d-44ac-bcb4-4034eed52174,Many time my data is delete for every 1mnth every 15days show a option restore data click to restore then restore successfully the my whats aap data is delete in some days chart,1
9a657ba4-80cd-4817-a504-2050347ef8b7,Super,5
4d8b97db-532d-4d4d-8810-99a53a28c1fb,It's very good,5
053f9af0-6a36-42c7-b949-5d443b5d4d61,This is very great app,5
c8f20746-fdbe-445e-8685-dacdf4bd7665,Restrictions are more,3
78083256-ea3f-44a3-b6bf-e96a1fe49250,I can't get on what ap,5
cd54401c-7667-4e48-900a-7e6e0ae4aa38,Raljnda r nisad,5
bad84306-5344-4259-9c73-a50529423b86,Padma Banothu,5
086edbb3-7799-4483-8335-281685396d90,It has become an essential part of the day.,5
84a53094-e92b-461f-9b1c-3d757324a7ca,"wonderful app,,,,,this is I hope a best app gor communication",5
cb36144c-7b27-4948-a89c-49dfd98b566a,Thasleema Razzap,2
8f0fbcca-e1db-4dbd-8a82-09eae5975eb5,Op,5
8b7e3221-231d-46f4-84c0-d1e61724b828,Good,5
f8886f16-d04b-4ad5-b48a-0a04bd0805b0,This app is good,5
f8dda4a2-f4b0-446b-960c-66f8c0e47586,خیال۔محمد,3
27b93999-410e-4654-aa26-2f5c7348ce49,Gg ch Hu h tu BC ring tu b hi NH,5
9a1c7491-4464-4e9d-b0d9-077fb59456c6,Many video statuses are not clear in this app. 2k video not support,3
909c0343-5c22-4969-a9a7-6f7cde5e12ab,op WhatsApp,1
ab797d37-eb68-49cb-a0b4-b4042bf1f7d6,Awias khan,5
ae8b3afe-5659-4fe2-94ab-895db459bf6d,"Best app, but in my device meta AI is not available Oppo A57. Please update issue.",5
7f028523-9395-408d-9a15-8c37365bb086,Veri good this app 🙃🙃,5
3201c851-ca70-4e54-bb02-63bae0b33f94,Good,5
86ab7d70-6c05-40bc-8f23-10bab79a6f72,korang kena download sebab dia best sangat cubalah korang mesti Suka best punyaa,5
1856d17f-c2f8-4473-83d8-5cf8c2410066,Happy,5
345a475f-68e1-4801-9276-17ced6e286a6,Nice,5
dba6134a-bc5a-405b-90fe-37b18470dff0,Good,5
2bca9dd9-2484-424e-bb2f-979fcb80689a,Good 💯,5
3f1bd2f3-b277-4f96-9042-e2c35716da45,Ok,5
7ada5801-da21-488c-bd3d-02d4997585d5,Sadda,5
b5e53ec1-3b22-4ce8-b2d8-c200c8ea25de,Bqtyi,5
c1c0f706-ef37-4f7d-b064-26524b486b6f,Sk.majahar.ali,5
becb480b-1a41-4a0f-878b-5659b477ef97,््,5
3b68ab38-9b34-4eb5-b36b-9776a45a88a6,Ease to use,5
e014e697-009c-4b26-a001-36bac10bd695,Godd for chatting💬💬💬💬💬,3
4b7d81b1-af66-4511-af1a-7301e8ed8f53,Nice app and Your AI future is also nice ty for you put AI meta ty wathsapp that why I rateing 5 stars enjoy,5
32605f84-520d-4ca1-a0c0-3102402eefac,Worst app ever.,1
c39fb4fa-6833-447b-bbf0-359c94ac164e,Ap,5
112676b5-87f9-4e13-a567-d2ba94e5276d,manikanta Bala,2
cc3fad07-a2bc-4744-8b04-1997be0ed898,I love em one of the best app for chatting,5
254e9404-2cc2-4a21-9bf0-edd8da88a6f2,Super,5
d6543785-c0ad-45f1-acc9-6582962d3e4d,Arabul,1
